GP_165;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=196,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Pacto das Guildas;;1;58,90;IT      [Italiano];SP   [Usada Levemente];
SLD47_126;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480001,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Secret Lair Drop Series: Culture Shocks;;;;;;
BLUNF_280;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480092,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Unfinity (Borderless);;;190,00;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
GBUNF_531;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480094,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Unfinity (Galaxy Foil Borderless);;;;;;
BLRVR_299;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480403,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Ravnica Remasterizada (Borderless);;;;;;
RFRVR_413;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480407,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Ravnica Remasterizada (Moldura Retro);;;;;;
SRVR_413;Solo Pisoteado / Stomping Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480408,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4907;Ravnica Remasterizada (Serialized);;;;;;
MED_14;Solo Sagrado / Hallowed Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=243,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4422;MTGO Masters Edition;;;;;;
IA_140;Solo Sagrado / Hallowed Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=313,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4422;Era Glacial;;1;0,85;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
PTD_19960119;Solo Sagrado / Hallowed Ground;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=440840,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4422;Pro Tour Decks;;;;;;
PTD_19961032;Solo Sagrado (ML-96) / Hallowed Ground (ML-96);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=440840,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=65809;Pro Tour Decks;;;;;;
OSONE_354;Solphim, Domina do Pandemônio / Solphim, Mayhem Dominus;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480159,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=67818;Phyrexia: Tudo sera um (Oil Slick Raised Foil);;;;;;
BIONE_312;Solphim, Domina do Pandemônio / Solphim, Mayhem Dominus;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480161,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=67818;Phyrexia: Tudo sera um (Borderless Ichor);;;59,90;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
SIONE_449;Solphim, Domina do Pandemônio / Solphim, Mayhem Dominus;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480169,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=67818;Phyrexia: Tudo sera um (Step-and-Compleat Borderless Ichor);;;;;;
ASONE_35;Solphim, Domina do Pandemônio (Art Card com Assinatura) / Solphim, Mayhem Dominus (Art Card with Signature);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480172,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=67994;Phyrexia: Tudo sera um (Art Series);;;;;;
ASONE_35;Solphim, Domina do Pandemônio (Art Card) / Solphim, Mayhem Dominus (Art Card);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480172,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=68072;Phyrexia: Tudo sera um (Art Series);;;;;;
VNEC_44;Soltar na Memória / Release to Memory;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479893,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=62993;Kamigawa: Dinastia Neon (Commander Variantes);;;;;;
GASNC_337;Soltar o Inferno / Unleash the Inferno;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479909,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=63493;Ruas de Nova Capenna (Golden Age);;1;2,83;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
FESNC_402;Soltar o Inferno / Unleash the Inferno;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479910,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=63493;Ruas de Nova Capenna (Foil Etched / Gilded Foil);;;;;;
MB1_1039;Soltar os Gremlins / Release the Gremlins;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479791,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=39389;Mystery Booster;;;1,14;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
WCD_20040708;Soltari Priest (BH-98);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=440839,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=56122;World Championship Decks;;;;;;
MB1_1648;Solvente Universal / Universal Solvent;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479791,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=39460;Mystery Booster;;3;0,36;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
IA_146;Sombra Álgida / Hoar Shade;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=313,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=4141;Era Glacial;;;;;;
CS_53;Sombra Congelante / Chilling Shade;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=193,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=3821;Frente Fria;;;;;;
EXBRO_330;Sombra da Desgraça / Misery's Shadow;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480043,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=67065;A Guerra dos Irmaos (Extended Art);;1;82,99;PT/EN   [Português / Inglês];NM   [Praticamente Nova];Foil
BLSNC_287;Sombra da Mortalidade / Shadow of Mortality;https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479906,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=63509;Ruas de Nova Capenna (Borderless);;;10,78;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
