NPH_171;Pântano (#171) / Swamp (#171);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=176,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=46752;Nova Phyrexia;;1;0,59;PT/EN   [Português / Inglês];SP   [Usada Levemente];
P3K_187;Pântano (#172) / Swamp (#172);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=276,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=47053;Portal Three Kingdoms;;;;;;
P3K_188;Pântano (#173) / Swamp (#173);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=276,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=47054;Portal Three Kingdoms;;;;;;
P3K_189;Pântano (#174) / Swamp (#174);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=276,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=47055;Portal Three Kingdoms;;;;;;
FRF_180;Pântano (#180) / Swamp (#180);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=18851,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=45485;Destino Reescrito;;;0,65;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
FRF_181;Pântano (#181) / Swamp (#181);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=18851,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=45486;Destino Reescrito;;;0,66;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
MED_187;Pântano (#187) / Swamp (#187);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=243,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=49470;MTGO Masters Edition;;;;;;
HOU_187;Pântano (#187) / Swamp (#187);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=176324,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=49470;Hora da Devastacao;;;3,13;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
MED_188;Pântano (#188) / Swamp (#188);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=243,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55645;MTGO Masters Edition;;;;;;
MED_189;Pântano (#189) / Swamp (#189);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=243,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55646;MTGO Masters Edition;;;;;;
HOU_194;Pântano (#194) / Swamp (#194);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=176324,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=42391;Hora da Devastacao;;1;4,70;PT/EN   [Português / Inglês];NM   [Praticamente Nova];Foil
HOU_194;Pântano (#194) / Swamp (#194);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=176324,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=42391;Hora da Devastacao;;23;0,58;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
RIX_194;Pântano (#194) / Swamp (#194);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=247933,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=42391;Rivais de Ixalan;;;0,47;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
HOU_195;Pântano (#195) / Swamp (#195);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=176324,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=42392;Hora da Devastacao;;2;6,00;PT/EN   [Português / Inglês];NM   [Praticamente Nova];Foil
HOU_195;Pântano (#195) / Swamp (#195);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=176324,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=42392;Hora da Devastacao;;18;0,56;PT/EN   [Português / Inglês];NM   [Praticamente Nova];
SLC169_195;Pântano (#195) / Swamp (#195);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480245,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=42392;Secret Lair Commander: From Cute to Brute;;;;;;
MD1_20;Pântano (#20) / Swamp (#20);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=359,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55628;Modern Event Deck;;;;;;
WHO_200;Pântano (#200) / Swamp (#200);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480277,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=71002;Doctor Who;;;;;;
WHO_201;Pântano (#201) / Swamp (#201);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=480277,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=69804;Doctor Who;;;;;;
PO_204;Pântano (#204) / Swamp (#204);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=278,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55697;Portal;;;;;;
PO_205;Pântano (#205) / Swamp (#205);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=278,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55698;Portal;;;;;;
PO_206;Pântano (#206) / Swamp (#206);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=278,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55699;Portal;;;;;;
PO_207;Pântano (#207) / Swamp (#207);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=278,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55700;Portal;;;;;;
PS11_213;Pântano (#213) / Swamp (#213);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=479869,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=61187;Salvat 2011;;;;;;
UST_214;Pântano (#214) / Swamp (#214);https://www.vilacelta.com.br/?view=ecom/itens&tcg=1&txt_edicao=251907,https://www.vilacelta.com.br/?view=ecom/item&tcg=1&card=55770;Unstable;;;;;;
